,y_values
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,0
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,1
498,0
499,0
